#区域号	类型	容量
0	I	1
1	I	1
2	I	1
3	L	3
4	I	1
5	I	1
6	L	1
7	I	1
8	I	1
9	I	1
10	I	1
11	I	1
12	I	1
13	L	1
14	I	1
15	I	1
16	I	1
17	L	2
18	L	2
19	I	1
20	I	1
21	L	1
22	I	1
23	L	1
24	I	1
25	L	2
26	I	1
27	L	3
28	L	2
29	I	1
30	I	1
31	L	3
32	L	2
33	I	1
34	I	1
35	I	1
36	L	1
37	L	1
38	I	1
39	I	1
40	I	1
41	I	1
42	I	1
43	I	1
44	R	1
45	S	1
46	S	1
47	S	1
48	S	1
49	S	1
50	S	1
51	S	1
52	S	1
53	S	1
54	S	1
55	S	1
56	S	1
57	A	
58	A	
