#FID_1	FID_2	FID_3
530	243	425
531	172	426
532	172	427
533	172	428
534	172	429
535	172	430
536	172	431
537	172	432
538	172	433
539	172	434
540	242	445
541	242	444
542	242	443
543	242	442
544	242	441
545	242	440
546	242	439
547	233	435
548	233	436
549	233	437
550	233	438
551	167	250
552	167	250
553	167	250
554	167	250
555	167	250
556	167	250
557	170	251
558	170	251
559	170	251
560	170	251
561	170	251
562	200	203
563	203	204
564	11	23
565	17	36
566	20	446
567	50	446
568	91	92
569	160	1000
570	161	1000
571	244	252
572	244	252
573	244	252
574	244	252
575	172	1000
576	243	255
577	254	256
578	253	254
579	242	253
580	253	255
581	255	256
582	215	220
583	224	225
584	228	1000
585	161	257
586	228	258
587	234	407
588	147	326
589	160	259
590	157	156
591	25	460
592	56	461
593	108	462
594	209	463
595	464	465
596	212	464
597	192	466
598	191	455
599	245	459
600	103	458
601	172	457
602	172	456
