#Min_Id	Max_Id	Length	可否hold	是否起降	是否弯道
103	105	104.20 	0	0	0
102	106	140.20 	0	0	0
102	105	95.34 	0	0	1
102	103	85.55 	0	0	1
105	106	97.94 	0	0	1
103	106	90.32 	0	0	1
106	113	256.30 	1	0	0
109	111	184.70 	0	0	0
113	114	144.70 	0	0	0
112	115	115.80 	0	0	0
112	114	84.56 	0	0	1
112	113	112.50 	0	0	1
113	115	98.95 	0	0	1
114	115	95.97 	0	0	1
109	112	101.10 	0	0	1
111	112	144.40 	0	0	1
110	112	201.60 	0	0	0
109	110	201.80 	0	0	0
111	122	266.00 	1	0	0
110	337	177.80 	0	0	0
114	124	110.60 	0	0	0
114	125	86.63 	0	0	1
124	125	109.20 	0	0	1
123	124	211.70 	1	0	0
123	136	128.30 	0	0	0
133	137	123.40 	0	0	0
122	134	231.10 	0	0	0
123	137	103.20 	0	0	1
136	137	89.32 	0	0	1
133	136	83.61 	0	0	1
123	133	98.20 	0	0	1
122	133	96.51 	0	0	1
133	134	187.00 	0	0	1
136	142	105.50 	0	0	0
134	145	254.70 	0	0	0
134	146	99.75 	0	0	1
145	146	216.60 	0	0	1
144	145	250.70 	0	0	1
144	146	178.20 	0	0	1
122	135	214.60 	0	0	0
133	135	205.60 	0	0	0
135	143	88.67 	0	0	0
144	338	192.90 	0	0	0
143	339	106.60 	0	0	0
145	151	216.30 	1	0	0
342	568	87.51 	1	0	0
152	340	189.60 	0	0	0
152	153	256.70 	0	0	0
151	152	169.50 	0	0	1
153	154	214.60 	0	0	1
151	154	94.95 	0	0	1
151	153	248.60 	0	0	0
154	568	166.90 	0	0	0
153	568	270.80 	0	0	1
151	568	149.30 	0	0	1
152	154	187.70 	0	0	1
154	157	126.50 	0	0	0
155	156	139.50 	0	0	0
147	156	326.00 	1	0	0
154	155	101.00 	0	0	1
154	156	95.23 	0	0	1
156	157	105.10 	0	0	1
155	157	103.20 	0	0	1
155	160	236.40 	1	0	0
153	159	124.10 	1	0	0
165	343	210.60 	0	0	0
165	166	277.90 	0	0	0
172	345	96.70 	1	0	0
167	172	158.20 	0	0	0
161	166	246.70 	0	0	0
161	167	90.57 	0	0	1
166	167	218.50 	0	0	1
161	172	135.70 	0	0	1
166	172	261.30 	0	0	1
161	165	167.90 	0	0	1
165	167	197.30 	0	0	1
159	161	121.90 	0	0	0
161	162	88.38 	0	0	1
159	162	99.10 	0	0	1
166	173	111.50 	1	0	0
173	175	175.00 	1	0	0
173	174	107.30 	0	0	1
174	175	138.30 	0	0	1
183	347	122.30 	1	0	0
181	183	135.10 	0	0	0
175	182	146.80 	0	0	0
175	181	94.77 	0	0	1
181	182	105.50 	0	0	1
182	183	109.50 	0	0	1
