#node_from	node_to
168	395
170	395
225	395
224	395
216	395
235	395
214	395
213	395
215	395
233	395
232	395
384	395
0	395
168	396
170	396
225	396
224	396
216	396
235	396
214	396
213	396
215	396
233	396
232	396
384	396
236	396
169	396
38	397
54	397
68	397
72	397
88	397
87	397
104	397
103	397
108	397
111	397
115	397
116	397
38	398
54	398
68	398
72	398
88	398
87	398
104	398
103	398
108	398
111	398
37	398
31	398
370	372
372	370
371	372
372	371
