#Id	Position	Position_Y
245	-0.4854	51.4709
246	-0.4854	51.4705
247	-0.4854	51.4699
248	-0.4858	51.4690
249	-0.4865	51.4690
250	-0.4872	51.4690
251	-0.4879	51.4690
252	-0.4886	51.4690
253	-0.4830	51.4738
254	-0.4830	51.4731
255	-0.4830	51.4725
256	-0.4830	51.4718
257	-0.4830	51.4711
258	-0.4830	51.4705
259	-0.4830	51.4698
260	-0.4830	51.4692
261	-0.4830	51.4685
262	-0.4795	51.4722
263	-0.4795	51.4713
264	-0.4795	51.4705
265	-0.4795	51.4698
266	-0.4795	51.4691
267	-0.4795	51.4685
268	-0.4780	51.4685
269	-0.4780	51.4692
270	-0.4780	51.4698
271	-0.4780	51.4705
272	-0.4780	51.4712
273	-0.4780	51.4722
274	-0.4780	51.4732
275	-0.4780	51.4740
276	-0.4743	51.4740
277	-0.4743	51.4732
278	-0.4743	51.4705
279	-0.4743	51.4698
280	-0.4743	51.4691
281	-0.4743	51.4685
282	-0.4728	51.4705
283	-0.4729	51.4694
284	-0.4720	51.4679
285	-0.4710	51.4679
286	-0.4698	51.4679
287	-0.4693	51.4692
288	-0.4694	51.4698
289	-0.4694	51.4705
290	-0.4694	51.4721
291	-0.4694	51.4729
292	-0.4694	51.4737
293	-0.4668	51.4738
294	-0.4665	51.4730
295	-0.4651	51.4748
296	-0.4643	51.4728
297	-0.4665	51.4705
298	-0.4657	51.4700
299	-0.4651	51.4694
300	-0.4646	51.4689
301	-0.4639	51.4683
302	-0.4625	51.4701
303	-0.4631	51.4706
304	-0.4637	51.4712
305	-0.4643	51.4717
306	-0.4636	51.4724
307	-0.4630	51.4720
308	-0.4625	51.4714
309	-0.4619	51.4709
310	-0.4613	51.4703
311	-0.4608	51.4731
312	-0.4614	51.4736
313	-0.4620	51.4742
314	-0.4627	51.4747
315	-0.4641	51.4748
316	-0.4604	51.4740
317	-0.4597	51.4735
318	-0.4601	51.4692
319	-0.4598	51.4689
320	-0.4584	51.4679
321	-0.4570	51.4680
322	-0.4584	51.4748
323	-0.4576	51.4749
324	-0.4568	51.4749
325	-0.4561	51.4749
326	-0.4555	51.4749
327	-0.4549	51.4749
328	-0.4543	51.4749
329	-0.4537	51.4749
330	-0.4530	51.4749
331	-0.4523	51.4749
332	-0.4515	51.4749
333	-0.4508	51.4749
334	-0.4498	51.4735
335	-0.4493	51.4738
336	-0.4488	51.4740
337	-0.4483	51.4742
338	-0.4477	51.4744
339	-0.4482	51.4734
340	-0.4476	51.4736
341	-0.4470	51.4739
342	-0.4414	51.4742
343	-0.4414	51.4734
344	-0.4414	51.4727
345	-0.4399	51.4743
346	-0.4399	51.4739
347	-0.4399	51.4733
348	-0.4399	51.4726
349	-0.4399	51.4720
350	-0.4420	51.4717
351	-0.4428	51.4711
352	-0.4436	51.4705
353	-0.4444	51.4699
354	-0.4452	51.4694
355	-0.4561	51.4680
356	-0.4555	51.4680
357	-0.4545	51.4680
358	-0.4312	51.4700
359	-0.4308	51.4694
360	-0.4795	51.4739
361	-0.4795	51.4731
362	-0.4787	51.4726
363	-0.4787	51.4709
364	-0.4787	51.4695
365	-0.4735	51.4712
366	-0.4736	51.4725
367	-0.4680	51.4724
368	-0.4665	51.4724
369	-0.4688	51.4712
370	-0.4680	51.4705
371	-0.4672	51.4717
372	-0.4671	51.4684
373	-0.4618	51.4701
374	-0.4598	51.4729
375	-0.4497	51.4732
376	-0.4599	51.4679
377	-0.4609	51.4691
378	-0.4610	51.4686
379	-0.4299	51.4692
380	-0.4896	51.4746
381	-0.4889	51.4744
382	-0.4883	51.4743
383	-0.4876	51.4743
384	-0.4815	51.4773
385	-0.4299	51.4751
386	-0.4853	51.4723
387	-0.4853	51.4700
388	-0.4830	51.4718
389	-0.4627	51.4747
390	-0.4561	51.4749
391	-0.4530	51.4749
392	-0.4570	51.4680
393	-0.4545	51.4680
394	-0.4399	51.4720
395	-0.4917	51.4775
396	-0.4333	51.4777
397	-0.4331	51.4649
398	-0.4901	51.4647
